precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7815,Election_Day,890,226,25.39,168,31,,27
7815,VBM,890,392,44.04,317,51,,24
7816,Election_Day,837,236,28.2,176,47,,13
7816,VBM,837,396,47.31,306,67,,23
7817,Election_Day,781,268,34.31,195,46,,27
7817,VBM,781,301,38.54,245,38,1,17
7818,Election_Day,828,235,28.38,193,26,,16
7818,VBM,828,323,39.01,246,54,1,22
7819,Election_Day,762,213,27.95,160,37,,16
7819,VBM,762,270,35.43,192,52,,26
7821,Election_Day,918,254,27.67,204,36,,14
7821,VBM,918,399,43.46,293,77,,29
7822,Election_Day,873,277,31.73,215,43,1,18
7822,VBM,873,300,34.36,235,46,,19
7823,Election_Day,854,253,29.63,191,34,,28
7823,VBM,854,321,37.59,232,64,,25
7824,Election_Day,748,213,28.48,164,31,,18
7824,VBM,748,269,35.96,197,53,,19
7825,Election_Day,547,174,31.81,143,23,,8
7825,VBM,547,193,35.28,159,26,,8
7826,Election_Day,672,214,31.85,171,18,,25
7826,VBM,672,251,37.35,203,33,,15
7827,Election_Day,890,249,27.98,195,28,,26
7827,VBM,890,270,30.34,208,37,,25
7828,Election_Day,935,238,25.45,178,40,,20
7828,VBM,935,397,42.46,280,84,,33
7829,Election_Day,845,217,25.68,146,56,,15
7829,VBM,845,385,45.56,287,76,,22
7831,Election_Day,878,255,29.04,205,31,,19
7831,VBM,878,364,41.46,296,49,,19
7832,Election_Day,782,221,28.26,181,27,,13
7832,VBM,782,348,44.5,266,57,,25
7833,Election_Day,753,192,25.5,147,27,,18
7833,VBM,753,281,37.32,211,41,1,28
7834,Election_Day,852,279,32.75,219,40,,20
7834,VBM,852,267,31.34,204,39,,24
7835,Election_Day,787,217,27.57,151,44,,22
7835,VBM,787,321,40.79,225,76,,20
7836,Election_Day,948,247,26.05,186,43,,18
7836,VBM,948,403,42.51,290,82,,31
7837,Election_Day,868,247,28.46,186,37,,24
7837,VBM,868,358,41.24,253,78,,27
7838,Election_Day,895,227,25.36,168,45,,14
7838,VBM,895,424,47.37,312,91,,21
7839,Election_Day,824,218,26.46,153,32,,33
7839,VBM,824,359,43.57,275,63,,21
